MakeName,McLaren,Maserati,MINI,Chevrolet,Porsche,Acura,Mercedes-Benz,Ford,Genesis,Smart,Dodge,Scion,Rolls-Royce,Cadillac,Honda,Hyundai,Volkswagen,Mazda,Jeep,Infiniti,LandRover,Kia,Mitsubishi,BMW,FIAT,Lincoln,Lamborghini,Jaguar,GMC,Toyota,Nissan,AstonMartin,Volvo,Ferrari,Chrysler,Bentley,Tesla,Ram,AlfaRomeo,Subaru,Buick,Lexus,Audi,,
,70,1.288897072,,5,1.893939394,,57,1.170431211,,6,1.360544218,,11,2.31092437,,62,1.13865932,,13,1.246404602,,4,1.785714286,,4,2.352941176,,28,1.315789474,,,,,,,,,,,,,,,,
,68,1.252071442,,4,1.515151515,,56,1.149897331,,6,1.360544218,,11,2.31092437,,62,1.13865932,,12,1.150527325,,4,1.785714286,,4,2.352941176,,27,1.268796992,,,,,,,,,,,,,,,,
,67,1.233658626,,4,1.515151515,,51,1.047227926,,6,1.360544218,,9,1.890756303,,61,1.120293848,,11,1.054650048,,4,1.785714286,,3,1.764705882,,24,1.127819549,,,,,,,,,,,,,,,,
,66,1.215245811,,3,1.136363636,,50,1.026694045,,6,1.360544218,,9,1.890756303,,61,1.120293848,,11,1.054650048,,3,1.339285714,,3,1.764705882,,22,1.033834586,,,,,,,,,,,,,,,,
,64,1.17842018,,3,1.136363636,,50,1.026694045,,5,1.133786848,,8,1.680672269,,56,1.028466483,,11,1.054650048,,3,1.339285714,,3,1.764705882,,22,1.033834586,,,,,,,,,,,,,,,,
,62,1.14159455,,3,1.136363636,,50,1.026694045,,4,0.907029478,,7,1.470588235,,55,1.01010101,,10,0.958772771,,2,0.892857143,,3,1.764705882,,21,0.986842105,,,,,,,,,,,,,,,,
,41,0.754925428,,3,1.136363636,,48,0.985626283,,4,0.907029478,,6,1.260504202,,53,0.973370064,,10,0.958772771,,2,0.892857143,,3,1.764705882,,20,0.939849624,,,,,,,,,,,,,,,,
,38,0.699686982,,3,1.136363636,,48,0.985626283,,4,0.907029478,,6,1.260504202,,50,0.918273646,,10,0.958772771,,2,0.892857143,,2,1.176470588,,19,0.892857143,,,,,,,,,,,,,,,,
,37,0.681274167,,3,1.136363636,,47,0.965092402,,4,0.907029478,,6,1.260504202,,49,0.899908173,,9,0.862895494,,2,0.892857143,,2,1.176470588,,18,0.845864662,,,,,,,,,,,,,,,,
,32,0.58921009,,3,1.136363636,,43,0.882956879,,4,0.907029478,,5,1.050420168,,46,0.844811754,,9,0.862895494,,2,0.892857143,,2,1.176470588,,18,0.845864662,,,,,,,,,,,,,,,,
,31,0.570797275,,3,1.136363636,,40,0.821355236,,3,0.680272109,,5,1.050420168,,44,0.808080808,,9,0.862895494,,2,0.892857143,,2,1.176470588,,18,0.845864662,,,,,,,,,,,,,,,,
,30,0.55238446,,2,0.757575758,,37,0.759753593,,3,0.680272109,,4,0.840336134,,43,0.789715335,,9,0.862895494,,2,0.892857143,,2,1.176470588,,18,0.845864662,,,,,,,,,,,,,,,,
,29,0.533971644,,2,0.757575758,,36,0.739219713,,3,0.680272109,,3,0.630252101,,43,0.789715335,,8,0.767018217,,2,0.892857143,,2,1.176470588,,17,0.79887218,,,,,,,,,,,,,,,,
